0	Aa Aa Aa, Aa Aa, Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa, Aa Aa, Aa/Aa Aa Aa, Aa Aa, Aa, Aa Aa Aa, Aa Aa Aa Aa, Aa-Aa Aa, Aa Aa Aa (Aa Aa), Aa Aa Aa (Aa Aa), Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa	N
0	Aa a Aa (a)	Aa a Aa AaN
0	Aa (a)	Aa a Aa AaN
0	Aa Aa (a)	Aa a Aa AaN
0	Aa a Aa A Aa	Aa Aa AaN
0	Aa (a)	Aa a Aa AaN
0	Aa (a)	Aa a Aa AaN
0	Aa (a)	Aa a Aa Aa, Aa Aa AaN
0	Aa (a)	Aa a Aa AaN
0	Aa (a)	Aa a Aa AaN
0	Aa (a)	Aa a Aa Aa, Aa Aa AaN
0	a (a)	Aa AaN
0	a (a)	Aa Aa, Aa Aa AaN
0	A (a)	Aa AaN
0	a a (a)	Aa AaN
0	a a (a)	Aa AaN
0	a (a)	Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa AaN
0	a (a)	Aa Aa, Aa Aa AaN
0	a (a)	Aa Aa, Aa Aa AaN
0	Aa (a)	Aa Aa, Aa AaN
0	a (a)	Aa AaN
0	Aa (a)	Aa AaN
0	a (a)	Aa AaN
0	a (a)	Aa AaN
0	a (a)	Aa AaN
0	a (a)	Aa Aa Aa, Aa AaN
0	a (a)	Aa AaN
0	a-a (a)	Aa AaN
0	a (a)	Aa AaN
0	a (a)	Aa Aa, Aa Aa Aa, Aa AaN
0	a (a)	Aa Aa, Aa Aa AaN
0	Aa (a)	Aa AaN
0	A (a)	Aa AaN
0	a (a)	Aa Aa, Aa Aa Aa, Aa AaN
0	a a (a)	Aa Aa, Aa Aa AaN
0	a (a)	Aa-Aa Aa AaN
0	a a a (a)	Aa Aa Aa, Aa AaN
0	a (a)	Aa Aa AaN
0	A (a)	Aa Aa Aa, Aa Aa AaN
0	a a (a)	Aa Aa AaN
0	Aa (a)	Aa AaN
0	Aa (a)	Aa AaN
0	A (a)	Aa Aa AaN
0	A	Aa Aa Aa Aa a Aa Aa AaN
0	A	Aa Aa Aa Aa a Aa Aa AaN
0	Aa Aa Aa Aa	Aa Aa Aa AaN
0	Aa Aa Aa Aa Aa	Aa Aa Aa Aa AaN
0	Aa Aa (a)	Aa AaN
0	Aa Aa (a)	Aa AaN
0	Aa Aa Aa Aa (a)	Aa Aa Aa AaN
0	Aa Aa Aa (a)	Aa Aa AaN
0	A (a)	Aa Aa Aa Aa AaN
0	A (a)	Aa Aa Aa AaN
0	Aa (a)	Aa Aa AaN
0	Aa (a)	Aa Aa Aa, Aa AaN
0	a-a a (a)	Aa Aa Aa Aa AaN
0	Aa (a)	Aa Aa AaN
0	Aa (a)	Aa Aa AaN
0	Aa (a)	Aa Aa Aa, Aa AaN
0	Aa (a)	Aa Aa AaN
0	A (a)	Aa Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	a-a A (a)	Aa Aa Aa Aa AaN
0	Aa (a)	Aa Aa AaN
0	A (a)	Aa-a Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	Aa (a)	Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	Aa Aa (a)	Aa Aa AaN
0	Aa a	Aa Aa AaN
0A	Aa a	Aa Aa AaN
0A	Aa Aa (a)	Aa Aa AaN
0A	Aa Aa (a)	Aa Aa AaN
0A	Aa (a)	Aa Aa AaN
A0	Aa a Aa	Aa Aa AaN
A0	Aa a Aa	Aa Aa AaN
A0	Aa a Aa	Aa Aa AaN
A0	Aa a Aa Aa	Aa Aa AaN
A0	a (a)	Aa Aa AaN
A0	a (a)	Aa Aa AaN
A0	a a (a)	Aa Aa AaN
A0	Aa a	Aa Aa AaN
A	Aa Aa (a)	Aa AaN
A	Aa a Aa	Aa Aa AaN
A	Aa (a)	Aa AaN
A	(a)	Aa AaN
A0	Aa Aa (a Aa) (a a)	Aa AaN
A0	Aa Aa (a)	Aa AaN
A0	Aa Aa Aa (a Aa) (a a)	Aa AaN
A0	Aa Aa (a Aa) (a a)	Aa AaN
A0	Aa Aa (a a)	Aa AaN
A	a a (a)	Aa AaN
A	a a (a)	Aa Aa, Aa Aa AaN
A	a (a)	Aa AaN
A	Aa Aa (a)	Aa AaN
A	Aa Aa (a)	Aa AaN
A	Aa Aa Aa (a)	Aa Aa AaN
A	Aa Aa Aa (a)	Aa Aa AaN
A0	Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	Aa	Aa Aa Aa (Aa Aa), Aa Aa Aa (Aa Aa)N
A	Aa Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A	Aa Aa Aa (a)	Aa Aa Aa (Aa Aa)N
A0	A (a)	Aa Aa AaN
A0	Aa Aa (a)	Aa a Aa Aa AaN
A0	Aa Aa (a)	Aa a Aa Aa AaN
A0	Aa Aa (a)	Aa AaN
A0	Aa A (a)	Aa Aa Aa Aa a Aa AaN
A0	Aa A (a)	Aa Aa Aa a Aa Aa a Aa Aa AaN
A0	Aa A (a)	Aa Aa Aa a Aa Aa a Aa Aa AaN
A0	A Aa (a)	Aa Aa Aa a Aa AaN
A	a a (a)	Aa Aa Aa, Aa AaN
A	a a (a)	Aa Aa, Aa Aa Aa, Aa AaN
A	a a (a)	Aa AaN
A0	AaA (a)	Aa-Aa Aa Aa (0% Aa)N
A0	A (a)	Aa-Aa Aa Aa (0% a 0% Aa)N
A0	Aa (a)	Aa AaN
A0	Aa (a)	Aa AaN
A0	Aa (a)	Aa AaN
A	Aa Aa (a)	Aa AaN
A	Aa (a)	Aa AaN
A	Aa Aa (a)	Aa AaN
A	A (a)	Aa Aa AaN
A	a a (a)	Aa AaN
A	a a (a)	Aa Aa Aa, Aa AaN
A	a a (a)	Aa Aa, Aa Aa Aa, Aa AaN
A0	Aa Aa (a)	Aa AaN
A0	Aa Aa (a)	Aa AaN
A0	A0 (a)	A Aa Aa Aa (Aa-Aa)N
A0	A0 (a)	Aa Aa Aa Aa (Aa-Aa)
